month,day,order,country,page1_main_category,colour,location,model_photography,price,price_2,page,total_clicks,browsing_depth,weekday,weekend
4,26,4,29,1,3,2,1,43,2,1,8,3,5,1
5,26,2,29,4,4,4,1,33,2,1,1,1,0,0
6,6,2,29,3,14,5,1,48,1,2,2,2,4,0
4,15,4,9,2,2,4,1,67,1,1,2,2,1,0
7,14,8,29,3,14,3,1,55,1,3,3,3,0,0
4,2,4,27,2,12,5,2,62,1,1,2,3,2,0
5,19,4,29,2,13,1,1,38,2,2,1,2,0,0
4,19,3,29,4,7,3,2,38,1,3,1,3,5,1
5,23,3,29,2,2,4,1,38,2,1,2,2,4,0
7,13,2,29,2,2,4,1,67,1,1,3,1,6,1
4,2,5,29,4,3,1,1,38,1,1,8,5,2,0
4,24,6,29,1,3,2,2,38,2,1,2,1,3,0
4,18,11,29,3,6,3,1,48,1,1,6,5,4,0
6,24,1,31,2,12,6,1,52,1,1,1,1,1,0
7,21,2,24,3,5,1,2,33,2,4,2,4,0,0
8,6,9,29,2,12,6,1,52,1,1,6,2,2,0
4,5,1,29,4,3,1,1,38,1,1,3,1,5,1
5,5,1,29,4,7,6,1,33,2,1,1,1,0,0
8,6,29,29,4,4,2,1,38,1,1,3,1,2,0
7,8,5,29,1,4,2,1,62,1,2,1,2,1,0
7,6,4,29,1,4,6,1,38,2,1,1,1,6,1
7,14,19,29,3,5,1,2,33,2,4,4,4,0,0
7,11,34,24,3,9,5,2,20,2,3,12,3,4,0
7,3,3,29,4,14,5,1,33,2,3,1,3,3,0
6,12,22,24,2,2,4,1,67,1,1,12,3,3,0
5,5,9,29,3,13,1,1,48,1,4,3,4,0,0
4,22,9,29,3,6,5,1,20,2,3,6,3,1,0
5,18,3,29,4,2,1,1,48,1,1,2,1,6,1
7,2,65,29,1,3,3,1,43,2,1,22,3,2,0
8,8,18,29,1,4,2,1,62,1,2,8,2,4,0
4,11,2,29,1,1,3,1,38,2,2,2,2,4,0
7,30,2,29,3,14,1,1,57,1,2,3,4,2,0
4,13,10,9,2,12,1,1,52,1,1,3,2,6,1
5,6,9,29,3,14,6,1,48,1,1,3,1,1,0
5,9,1,29,2,10,2,1,52,1,1,1,1,4,0
5,20,4,29,1,3,3,1,43,2,1,2,1,1,0
5,25,5,29,4,2,2,1,43,1,1,2,2,6,1
4,27,14,29,2,2,4,1,67,1,1,5,2,6,1
7,28,2,29,3,7,6,1,48,1,2,1,2,0,0
6,6,2,29,4,14,4,1,28,2,3,1,3,4,0
6,24,18,29,4,4,3,2,28,2,1,9,5,1,0
6,2,14,29,1,3,3,1,55,1,2,2,2,0,0
5,5,24,29,4,1,3,2,28,2,4,6,4,0,0
5,23,10,9,2,2,4,1,43,2,1,6,1,4,0
7,26,9,29,3,6,3,2,28,2,3,4,3,5,1
5,2,43,9,1,3,3,1,82,1,1,8,2,4,0
4,15,4,29,1,3,3,1,62,1,1,2,1,1,0
4,7,3,29,3,11,2,2,43,1,2,4,2,0,0
4,29,1,29,4,2,6,2,38,1,1,3,1,1,0
4,30,13,29,1,6,4,1,38,2,2,10,3,2,0
4,8,3,24,1,2,6,1,62,1,1,2,1,1,0
5,6,2,29,2,10,2,1,52,1,1,2,1,1,0
5,27,10,29,3,6,3,1,48,1,1,6,3,1,0
5,14,10,29,2,10,2,1,52,1,1,4,2,2,0
8,10,26,29,3,14,6,1,57,1,3,8,3,6,1
7,8,6,29,4,4,5,2,38,1,1,4,1,1,0
4,23,18,29,3,5,1,2,33,2,4,4,4,2,0
4,1,4,29,1,3,2,2,38,2,1,4,1,1,0
4,21,8,29,1,3,2,1,43,2,1,4,1,0,0
6,29,12,29,4,3,1,1,38,1,1,4,1,6,1
5,20,1,29,4,4,1,1,43,1,4,5,4,1,0
5,1,6,9,2,4,3,2,52,1,1,1,1,3,0
4,17,9,29,4,12,4,2,28,2,4,3,4,3,0
4,2,13,29,3,11,2,1,48,1,1,5,3,2,0
6,12,18,43,1,14,6,2,33,2,2,5,2,3,0
4,11,10,29,1,3,4,1,38,2,1,1,1,4,0
6,25,3,29,4,2,2,1,43,1,1,1,1,2,0
5,14,5,9,1,3,1,1,43,2,1,2,2,2,0
5,21,7,29,4,2,2,1,43,1,1,6,5,2,0
6,21,5,29,1,3,1,1,72,1,1,1,1,5,1
5,8,10,29,4,7,1,1,23,2,2,5,3,3,0
5,14,8,29,4,4,4,1,33,2,1,4,1,2,0
5,26,7,29,4,3,1,1,38,1,1,2,1,0,0
5,6,7,29,2,10,2,1,52,1,1,5,2,1,0
7,28,4,29,3,14,4,1,43,1,1,4,1,0,0
6,14,2,46,2,3,1,2,57,1,1,2,1,5,1
7,25,1,29,4,4,2,1,38,1,1,1,1,4,0
7,6,2,29,3,13,1,1,48,1,4,1,4,6,1
6,29,20,29,1,3,1,1,43,2,1,6,1,6,1
4,8,6,15,1,1,5,1,38,2,2,8,3,1,0
8,9,1,29,1,3,2,2,38,2,1,3,1,5,1
5,27,15,29,1,2,4,1,38,2,1,11,2,1,0
8,1,2,29,4,4,2,1,38,1,1,1,1,4,0
5,5,4,29,1,3,4,1,62,1,1,1,1,0,0
4,7,6,29,4,2,6,2,38,1,1,2,1,0,0
4,4,10,29,3,6,2,1,33,2,1,3,3,4,0
7,1,9,29,2,9,5,1,38,2,1,1,1,1,0
5,21,10,29,2,2,4,1,43,2,1,3,5,2,0
4,16,6,9,1,3,3,1,82,1,1,2,4,2,0
6,3,7,29,4,9,4,2,43,1,4,2,4,1,0
4,30,5,29,2,12,5,2,62,1,1,1,1,2,0
7,18,3,9,1,3,3,1,43,2,1,4,3,4,0
4,1,3,29,2,1,3,1,48,2,1,3,2,1,0
5,16,13,34,1,3,5,1,60,1,1,6,1,4,0
6,18,19,29,4,4,5,2,38,1,1,5,2,2,0
5,3,21,29,3,14,6,1,48,1,1,4,3,5,1
4,2,2,29,4,2,1,1,43,1,3,1,3,2,0
4,14,2,29,3,12,1,1,43,1,1,2,1,0,0
6,27,9,29,3,2,4,1,48,1,3,4,3,4,0
5,22,11,29,3,9,5,1,23,2,1,4,1,3,0
7,25,2,29,4,6,4,2,48,1,5,1,5,4,0
5,25,8,29,4,2,1,1,48,1,2,4,2,6,1
6,24,3,9,3,14,6,1,48,1,1,4,2,1,0
7,28,15,29,2,12,5,2,62,1,1,5,1,0,0
5,12,64,29,1,14,6,2,33,2,2,20,2,0,0
7,20,12,29,1,3,4,1,38,2,1,5,2,6,1
5,23,6,29,1,3,3,1,62,1,1,9,4,4,0
5,5,2,29,2,2,4,1,67,1,1,2,1,0,0
7,2,76,29,4,3,1,1,38,1,1,22,3,2,0
5,11,1,29,1,14,5,2,33,2,1,7,2,6,1
7,5,2,29,4,3,2,1,23,2,1,4,5,5,1
7,12,7,21,4,14,3,2,28,2,4,5,5,5,1
5,23,2,6,2,12,1,1,67,1,2,2,2,4,0
4,10,1,29,4,7,6,1,33,2,1,1,1,3,0
4,17,16,29,4,4,1,1,43,1,4,8,4,3,0
7,22,1,29,1,8,1,1,28,2,1,1,1,1,0
4,22,1,29,4,2,2,1,43,1,1,5,3,1,0
4,22,15,29,2,9,5,1,57,1,2,5,2,1,0
5,2,29,9,1,2,6,1,38,2,2,11,3,4,0
5,31,42,9,3,7,4,1,33,2,1,11,3,5,1
6,30,11,29,3,14,6,1,38,2,3,2,3,0,0
5,7,12,29,1,3,3,1,55,1,2,3,2,2,0
6,4,6,29,1,14,5,2,33,2,1,2,1,2,0
4,8,10,29,4,7,6,1,33,2,1,4,2,1,0
4,1,1,29,1,3,4,1,62,1,1,3,3,1,0
8,4,4,29,2,3,1,2,57,1,1,1,1,0,0
8,6,3,29,3,7,4,1,33,2,1,1,1,2,0
5,24,4,29,1,2,6,1,62,1,1,1,1,5,1
7,10,2,29,3,2,3,1,33,2,2,3,2,3,0
5,5,10,29,3,6,4,2,52,1,2,4,2,0,0
4,2,10,44,3,14,3,1,28,2,2,4,2,2,0
4,30,1,29,1,2,1,2,38,2,2,1,2,2,0
5,6,7,29,1,2,5,1,38,2,2,3,2,1,0
4,1,6,29,2,4,1,1,57,1,1,9,3,1,0
5,24,3,29,1,1,5,1,38,2,2,8,3,5,1
8,5,4,29,1,3,4,1,38,2,1,5,1,1,0
5,3,16,29,4,12,4,2,28,2,4,8,4,5,1
5,5,3,29,4,12,1,2,33,2,5,4,5,0,0
8,13,5,29,1,3,2,1,43,2,1,7,2,2,0
7,24,64,16,3,14,6,1,57,1,3,13,3,3,0
4,18,1,29,3,14,6,1,43,1,2,2,3,4,0
5,1,33,29,3,13,1,1,48,1,4,7,4,3,0
4,2,1,29,3,6,4,1,28,2,3,6,3,2,0
4,27,3,29,2,6,3,1,38,2,1,1,1,6,1
7,7,1,29,3,11,2,2,43,1,2,2,2,0,0
8,10,1,29,2,4,1,1,57,1,1,8,3,6,1
7,17,86,29,4,2,1,1,33,2,4,19,4,3,0
4,28,3,29,2,9,5,1,38,2,1,2,1,0,0
5,19,2,29,4,2,6,2,38,1,1,2,1,0,0
6,17,1,29,2,2,5,1,62,1,1,1,1,1,0
4,2,37,34,3,9,4,2,28,2,1,10,3,2,0
7,8,22,29,3,7,6,1,48,1,2,6,3,1,0
8,3,19,29,2,11,2,1,57,1,2,6,3,6,1
4,6,77,29,4,9,5,1,43,1,4,18,4,6,1
4,4,1,46,1,3,3,1,43,2,1,1,1,4,0
7,11,61,29,3,6,4,2,52,1,2,17,4,4,0
6,22,16,29,1,4,1,1,38,2,3,23,5,6,1
5,11,1,29,3,9,5,1,23,2,1,4,2,6,1
6,3,6,29,1,2,6,1,38,2,2,2,2,1,0
4,28,1,29,1,1,5,1,28,2,1,3,2,0,0
5,16,1,29,3,13,1,2,48,1,2,1,2,4,0
4,6,4,29,4,14,1,1,43,1,3,3,3,6,1
6,9,6,29,2,13,3,1,57,1,2,2,2,0,0
6,5,9,9,2,2,4,1,43,2,1,8,2,3,0
4,24,15,29,4,14,2,1,28,2,4,2,4,3,0
7,10,27,29,2,7,2,1,38,2,2,7,4,3,0
7,22,8,29,4,3,1,1,38,1,1,6,3,1,0
5,15,5,29,3,6,2,1,33,2,1,4,4,3,0
6,1,1,21,1,14,5,2,33,2,1,1,1,6,1
5,22,8,29,3,9,5,1,48,1,1,7,4,3,0
6,13,5,29,2,13,3,1,57,1,2,8,3,4,0
4,24,5,29,2,6,6,2,38,2,1,4,4,3,0
4,11,11,29,4,9,4,2,33,2,3,4,3,4,0
5,15,2,29,2,2,4,1,67,1,1,2,1,3,0
8,2,5,29,2,8,1,1,43,2,2,11,4,5,1
7,18,1,9,1,8,1,1,28,2,1,1,1,4,0
7,15,81,29,3,2,3,1,33,2,2,28,5,1,0
7,14,6,29,1,3,3,1,43,2,1,1,1,0,0
5,11,8,29,4,4,2,1,43,1,3,7,4,6,1
8,7,2,29,3,12,1,1,43,1,1,1,1,3,0
8,8,2,29,3,6,2,1,33,2,1,1,1,4,0
8,4,11,29,4,7,6,1,33,2,1,3,3,0,0
5,14,5,29,1,1,3,1,38,2,2,4,3,2,0
7,31,6,29,1,1,1,1,62,1,2,3,3,3,0
6,25,10,29,2,12,6,1,52,1,1,7,3,2,0
5,6,5,24,3,14,3,1,55,1,3,2,3,1,0
5,15,22,29,1,3,1,1,43,2,1,4,4,3,0
6,8,7,29,3,9,6,1,50,1,2,3,2,6,1
6,30,7,24,3,2,4,2,28,2,2,4,4,0,0
7,23,18,29,3,14,2,2,28,2,3,5,4,2,0
4,2,1,29,1,3,4,1,62,1,1,1,1,2,0
4,12,8,29,3,9,5,1,23,2,1,1,1,5,1
4,19,55,29,3,14,5,1,48,1,2,11,4,5,1
4,18,5,29,3,9,5,2,20,2,3,4,3,4,0
7,21,8,29,4,11,3,2,28,2,3,2,3,0,0
4,23,9,29,4,4,5,2,38,1,1,3,2,2,0
4,7,1,29,4,3,1,1,38,1,1,2,4,0,0
7,3,3,29,4,2,1,1,48,1,1,2,1,3,0
5,5,1,9,1,3,3,1,82,1,1,1,1,0,0
6,21,13,29,3,9,6,1,48,1,1,7,3,5,1
4,27,1,29,3,14,6,1,48,1,1,4,3,6,1
5,14,5,29,3,3,2,1,43,1,2,4,4,2,0
5,8,16,29,4,3,2,1,23,2,1,6,1,3,0
4,29,2,46,1,3,1,1,43,2,1,5,3,1,0
8,9,12,29,4,4,1,1,33,2,2,6,4,5,1
4,29,5,29,1,1,4,2,43,2,2,1,2,1,0
4,1,2,15,2,2,4,1,67,1,1,1,1,1,0
7,10,3,29,2,10,2,1,52,1,1,3,1,3,0
7,30,32,29,2,10,2,1,52,1,1,14,2,2,0
8,7,11,29,2,6,6,2,38,2,1,4,1,3,0
5,16,1,29,1,3,3,1,43,2,1,1,1,4,0
7,22,5,29,4,4,2,1,43,1,3,4,3,1,0
6,2,3,29,4,9,4,2,33,2,3,1,3,0,0
7,10,1,29,3,4,1,2,28,2,1,9,4,3,0
8,12,25,29,4,2,6,2,38,1,1,6,3,1,0
6,18,2,29,1,4,2,1,43,2,3,3,3,2,0
5,29,21,31,1,3,2,1,43,2,1,3,2,3,0
6,19,13,29,3,5,1,2,33,2,4,2,4,3,0
7,12,21,24,4,6,4,2,48,1,5,9,5,5,1
7,24,6,29,2,2,3,1,57,1,2,4,2,3,0
6,27,4,29,1,2,5,1,38,2,2,3,2,4,0
4,16,2,29,1,1,3,1,38,2,2,1,2,2,0
8,3,2,46,1,3,1,1,43,2,1,5,4,6,1
5,15,12,29,4,11,3,2,28,2,3,5,3,3,0
6,16,19,29,4,4,4,2,38,1,1,9,5,0,0
6,17,9,29,3,14,6,1,43,1,2,3,2,1,0
4,5,7,29,2,9,4,1,38,2,2,2,2,5,1
5,18,11,29,2,2,4,1,67,1,1,9,1,6,1
6,1,11,29,3,2,4,2,28,2,2,7,3,6,1
5,15,44,29,1,6,5,2,62,1,2,19,4,3,0
4,7,14,29,4,14,4,1,28,2,3,5,3,0,0
7,31,4,44,3,12,1,1,48,1,2,2,2,3,0
4,10,14,24,4,14,5,1,33,2,3,6,3,3,0
4,21,43,29,1,2,4,1,60,1,2,13,3,0,0
8,9,15,29,2,2,4,1,43,2,1,5,2,5,1
5,14,3,29,1,3,1,1,72,1,1,6,1,2,0
5,21,1,29,2,6,6,2,38,2,1,1,1,2,0
5,28,10,29,2,11,2,1,57,1,2,2,2,2,0
4,28,7,29,4,9,1,1,33,2,3,6,3,0,0
5,16,31,41,3,6,1,2,57,1,4,7,4,4,0
4,26,11,29,3,6,1,1,77,1,3,6,3,5,1
8,7,2,29,3,7,4,1,33,2,1,2,1,3,0
7,5,24,29,2,2,3,1,57,1,2,6,3,5,1
8,11,18,29,3,14,2,2,28,2,3,3,3,0,0
4,2,7,29,2,6,3,1,38,2,2,5,5,2,0
7,23,10,29,2,6,5,1,38,2,2,4,2,2,0
4,16,2,29,4,2,5,2,38,1,1,2,4,2,0
7,23,15,29,2,2,4,1,67,1,1,2,2,2,0
6,9,3,29,3,7,4,1,33,2,1,1,1,0,0
6,16,6,29,2,13,1,1,38,2,2,1,2,0,0
4,3,3,29,1,4,1,1,38,2,3,3,3,3,0
4,3,7,29,2,8,1,1,43,2,2,3,3,3,0
4,17,22,9,1,4,2,1,62,1,2,8,2,3,0
7,11,2,29,1,3,5,1,60,1,1,2,1,4,0
6,4,25,29,4,2,1,1,33,2,4,9,4,2,0
4,25,2,29,1,14,5,2,33,2,1,1,1,4,0
4,8,4,29,4,7,1,1,23,2,2,4,4,1,0
6,1,10,29,2,6,5,1,38,2,2,5,2,6,1
6,30,3,9,1,1,5,1,28,2,1,1,1,0,0
7,3,6,29,1,2,2,1,48,1,2,2,3,3,0
6,5,6,29,1,4,2,2,38,2,3,2,3,3,0
8,2,5,29,2,9,5,1,38,2,1,2,1,5,1
5,25,2,29,1,3,1,1,43,2,1,1,1,6,1
6,30,4,29,1,6,2,1,28,2,3,2,3,0,0
7,14,9,29,1,2,4,1,38,2,1,5,1,0,0
7,5,1,29,2,10,2,1,52,1,1,3,2,5,1
4,10,3,29,1,2,4,1,38,2,1,1,1,3,0
4,14,4,29,4,4,5,2,38,1,1,2,1,0,0
7,25,26,29,4,11,6,2,23,2,3,12,5,4,0
6,18,19,46,3,7,4,1,33,2,1,6,3,2,0
5,13,1,29,4,9,4,2,33,2,3,4,3,1,0
7,22,4,29,1,2,1,1,62,1,3,4,4,1,0
5,12,3,29,3,14,6,1,43,1,2,3,2,0,0
4,11,3,29,4,14,3,2,28,2,4,1,4,4,0
6,21,3,29,2,6,5,1,38,2,2,10,3,5,1
4,10,25,29,4,4,5,2,38,1,1,13,1,3,0
4,11,2,9,1,3,3,1,82,1,1,1,1,4,0
6,9,14,29,1,3,3,1,62,1,1,3,4,0,0
8,1,6,9,2,7,2,1,38,2,2,3,2,4,0
8,12,21,24,4,4,3,1,43,1,2,8,3,1,0
7,16,2,29,3,9,5,1,23,2,1,1,1,2,0
4,18,5,29,4,9,2,2,43,1,3,2,3,4,0
7,25,1,29,2,9,5,1,38,2,1,1,1,4,0
8,3,4,29,2,2,2,1,67,1,2,2,2,6,1
7,21,3,29,4,3,2,1,23,2,1,2,1,0,0
5,27,1,29,2,2,4,1,43,2,1,2,1,1,0
6,30,1,29,2,4,1,1,57,1,1,1,1,0,0
4,3,1,29,1,2,6,1,62,1,1,3,3,3,0
5,9,1,46,1,3,3,1,43,2,1,1,1,4,0
5,22,2,29,2,9,5,1,38,2,1,3,1,3,0
7,30,19,16,2,7,2,1,38,2,2,5,4,2,0
4,2,24,29,3,6,1,1,77,1,3,11,4,2,0
7,1,5,29,1,3,2,2,38,2,1,4,1,1,0
7,14,6,29,4,2,6,1,28,2,1,3,1,0,0
7,8,4,46,4,6,4,2,48,1,5,4,5,1,0
7,8,2,29,2,9,4,1,57,1,2,2,5,1,0
5,9,6,29,4,9,5,1,43,1,2,2,2,4,0
4,2,15,24,3,5,2,2,52,1,4,5,4,2,0
6,18,10,29,3,14,3,1,55,1,3,4,4,2,0
4,1,1,29,3,14,6,1,48,1,1,1,1,1,0
5,30,1,29,1,3,2,2,38,2,1,4,2,4,0
4,6,42,29,4,7,6,1,33,2,1,18,4,6,1
4,24,7,29,3,13,3,1,48,1,1,1,1,3,0
4,22,5,9,1,3,3,1,43,2,1,2,1,1,0
4,13,16,29,4,2,5,2,43,1,4,6,4,6,1
5,23,3,29,1,3,2,1,43,2,1,1,1,4,0
5,22,7,29,3,12,1,1,48,1,2,3,2,3,0
7,13,8,29,3,6,4,2,52,1,2,1,2,6,1
4,23,23,29,2,9,5,1,38,2,1,8,1,2,0
5,7,6,29,2,6,5,1,38,2,2,2,2,2,0
8,8,1,29,2,7,2,1,38,2,2,2,2,4,0
8,8,8,29,3,11,3,1,55,1,3,2,4,4,0
5,7,14,29,3,9,5,1,48,1,1,3,1,2,0
8,7,3,29,4,5,4,2,33,2,2,3,4,3,0
6,22,89,29,1,1,1,1,62,1,2,23,5,6,1
5,11,4,29,2,9,5,1,57,1,2,3,2,6,1
5,31,5,9,3,2,1,1,43,1,3,1,3,5,1
6,27,14,29,4,3,1,1,28,2,1,2,1,4,0
8,9,4,29,3,14,6,1,48,1,1,12,4,5,1
7,24,5,29,1,8,1,1,28,2,1,1,1,3,0
6,9,7,29,2,6,5,1,38,2,2,4,3,0,0
7,2,13,29,4,9,6,2,48,1,2,2,2,2,0
7,10,9,29,3,2,4,2,48,1,2,9,4,3,0
5,5,5,9,1,2,4,1,38,2,1,2,1,0,0
4,18,3,29,1,14,5,2,33,2,1,4,3,4,0
6,17,4,29,1,1,1,1,62,1,2,2,2,1,0
8,12,5,29,3,9,6,1,50,1,2,4,4,1,0
5,30,2,29,2,2,5,1,62,1,1,1,1,4,0
4,30,5,29,4,7,6,1,33,2,1,4,3,2,0
8,6,11,9,1,3,4,1,62,1,1,4,1,2,0
4,4,11,29,4,2,6,1,43,1,2,3,2,4,0
7,17,3,29,2,2,4,1,67,1,1,5,2,3,0
7,18,21,29,4,6,6,2,38,1,4,5,5,4,0
7,31,4,29,2,2,3,1,57,1,2,3,2,3,0
8,4,8,29,4,2,6,1,28,2,1,3,1,0,0
7,7,8,29,1,3,1,1,72,1,1,8,3,0,0
5,29,2,9,1,3,1,1,72,1,1,5,1,3,0
8,8,1,29,1,3,4,1,62,1,1,5,3,4,0
5,5,2,29,3,3,2,1,43,1,2,1,2,0,0
8,6,2,29,1,1,1,1,62,1,2,2,5,2,0
7,29,14,29,4,6,2,2,28,2,2,5,4,1,0
7,10,29,29,2,9,4,1,38,2,2,7,4,3,0
5,7,1,24,3,12,1,1,43,1,1,1,1,2,0
4,10,14,29,2,6,3,1,38,2,2,6,2,3,0
5,1,26,9,2,6,5,1,38,2,2,11,4,3,0
4,16,6,29,2,2,4,1,43,2,1,1,1,2,0
7,3,3,29,3,12,1,1,48,1,2,4,5,3,0
8,10,1,29,3,6,4,2,52,1,2,1,2,6,1
7,6,24,29,4,2,6,1,43,1,2,4,3,6,1
6,2,1,29,2,11,2,1,57,1,2,1,2,0,0
7,11,1,41,1,2,4,1,38,2,1,1,1,4,0
6,28,2,29,2,12,5,2,62,1,1,3,4,5,1
6,13,3,29,1,3,1,1,43,2,1,19,1,4,0
5,12,13,9,3,12,1,1,43,1,1,5,1,0,0
6,16,21,29,4,14,6,1,33,2,4,6,4,0,0
4,19,70,29,4,7,2,1,43,1,5,18,5,5,1
4,8,1,29,1,3,2,1,43,2,1,3,1,1,0
6,30,1,24,4,1,3,2,28,2,4,3,4,0,0
7,11,2,29,4,6,5,2,33,2,3,1,3,4,0
7,20,4,29,3,5,2,2,52,1,4,1,4,6,1
5,15,1,24,2,10,2,1,52,1,1,1,1,3,0
5,20,3,29,2,2,4,1,38,2,1,3,1,1,0
6,1,8,29,4,9,5,1,43,1,2,4,2,6,1
7,26,13,29,4,14,1,1,43,1,3,10,4,5,1
8,10,19,29,4,3,5,2,43,1,2,12,4,6,1
4,19,2,3,2,12,1,1,52,1,1,14,4,5,1
7,20,2,29,2,6,6,2,38,2,1,1,1,6,1
7,8,3,29,3,12,1,1,48,1,2,2,2,1,0
4,3,13,29,2,12,5,2,62,1,1,14,3,3,0
4,23,5,29,2,2,5,1,62,1,1,1,1,2,0
7,5,1,29,1,3,2,2,38,2,1,1,1,5,1
6,15,2,29,1,3,1,1,43,2,1,7,2,6,1
4,1,4,29,1,3,4,1,62,1,1,2,1,1,0
4,8,49,24,1,2,4,1,38,2,1,33,4,1,0
7,15,2,29,1,3,4,1,62,1,1,3,5,1,0
5,13,4,29,4,3,1,1,38,1,1,2,1,1,0
7,29,2,29,1,3,3,1,82,1,1,3,1,1,0
7,24,1,29,4,2,1,1,48,1,1,1,1,3,0
4,17,1,29,1,3,2,2,38,2,1,7,2,3,0
6,24,6,29,3,14,1,1,57,1,2,5,4,1,0
5,30,6,29,3,13,1,1,48,1,4,5,4,4,0
8,8,3,29,1,2,4,1,60,1,2,2,2,4,0
4,1,7,29,1,2,6,1,62,1,1,6,2,1,0
6,28,5,29,1,3,1,1,43,2,1,1,1,5,1
7,8,3,29,4,3,1,1,38,1,1,7,3,1,0
6,23,8,29,1,3,5,1,60,1,1,3,2,0,0
7,27,5,29,1,1,3,1,38,2,2,2,2,6,1
7,13,4,29,4,2,2,1,43,1,1,2,1,6,1
4,27,3,29,1,3,3,1,62,1,1,3,1,6,1
4,25,5,29,4,14,1,1,43,1,3,2,3,4,0
8,7,4,29,2,2,2,1,52,1,1,2,1,3,0
7,13,2,29,2,12,5,2,62,1,1,1,1,6,1
6,11,1,24,3,14,4,1,43,1,1,1,1,2,0
5,29,1,16,2,3,1,2,57,1,1,2,1,3,0
8,9,1,29,3,4,2,1,48,1,1,3,4,5,1
4,8,19,15,4,3,1,1,28,2,1,8,3,1,0
4,23,12,29,1,6,5,2,62,1,2,16,2,2,0
7,2,5,29,4,3,2,1,23,2,1,9,2,2,0
7,5,4,29,3,7,4,1,33,2,1,6,3,5,1
4,22,1,29,1,4,2,1,43,2,3,1,3,1,0
6,20,1,29,3,12,1,1,48,1,2,1,2,4,0
5,8,29,29,1,2,4,1,60,1,2,8,3,3,0
5,20,3,29,1,3,2,2,38,2,1,2,2,1,0
6,18,1,29,2,4,1,1,57,1,1,3,1,2,0
4,2,9,29,3,9,5,1,48,1,1,4,2,2,0
4,27,2,9,1,3,4,1,62,1,1,3,2,6,1
4,19,4,29,2,12,6,1,52,1,1,1,1,5,1
5,27,7,29,3,14,4,1,43,1,1,7,3,1,0
8,5,4,29,2,2,4,1,67,1,1,5,5,1,0
7,21,8,29,3,6,4,2,52,1,2,1,2,0,0
4,8,4,29,3,11,2,2,43,1,2,1,2,1,0
7,7,7,16,1,3,3,1,62,1,1,2,2,0,0
5,30,1,29,4,14,4,1,28,2,3,1,3,4,0
4,28,9,29,2,6,5,1,38,2,2,5,2,0,0
4,1,3,9,2,11,2,1,57,1,2,1,2,1,0
4,20,7,29,3,6,5,1,33,2,1,3,1,6,1
7,27,5,29,2,8,1,1,43,2,2,1,2,6,1
4,29,15,29,3,12,1,1,48,1,2,11,3,1,0
7,12,7,29,2,3,1,2,57,1,1,6,2,5,1
4,21,5,29,1,3,2,1,43,2,1,15,5,0,0
7,30,6,29,4,4,5,2,38,1,1,2,1,2,0
7,30,5,29,1,2,6,1,62,1,1,1,1,2,0
5,3,6,29,4,4,4,1,33,2,1,3,2,5,1
6,4,1,29,4,9,4,2,33,2,3,2,3,2,0
6,24,25,29,4,6,2,2,28,2,2,11,2,1,0
4,19,6,29,4,2,1,1,48,1,1,3,1,5,1
6,23,1,29,2,12,6,1,52,1,1,1,1,0,0
7,4,35,29,4,11,6,2,23,2,3,8,3,4,0
